! ("！")
" ("“”")
bkha ("示威")
bkhk ("来到")
bkhw ("老少咸宜")
bki ("坤" "𡊰")
bkia ("𡊡")
bkib ("𡊠")
bkic ("坤")
bkie ("二甲苯")
bkim ("𥙌")
bkip ("𡒧")
bkir ("来此")
bkix ("𢼗")
bkjj ("来回" "𥜧")
bkjk ("壋" "𡐹")
bkjm ("𡑄")
bkjr ("来路" "𪤋")
bkju ("𪤧")
bkjw ("示踪")
bkjz ("𡐃")
bkk ("𪣭" "𣆇" "𡌩")
bkka ("来日")
bkkb ("𡔁" "𡑆")
bkkk ("㙼")
bkkl ("𥜠")
bkkm ("来临")
bkkw ("未尝")
bkky ("𥜯")
bkkz ("来电")
bkl ("趟")
bklb ("𡏄")
bkld ("埫")
bklg ("堤岸")
bklk ("塭")
bkll ("𡌕")
bklr ("未见")
bkls ("𡑦")
bklx ("墁")
bklz ("堣")
bkm ("釐" "嫠")
bkmc ("来生")
bkme ("𡌨")
bkmj ("未知")
bkml ("来看")
bkmm ("来年")
bkmo ("𥘦")
bkmr ("𥙝")
bkms ("来稿" "工业生产")
bkmz ("五星级" "二星级")
bkna ("示例")
bknd ("𥛖")
bkng ("埋伏")
bknj ("𩲡")
bknk ("坦白")
bknl ("来自")
bknm ("来件")
bkno ("𥙼")
bknr ("来华")
bkns ("来信")
bko ("未")
bkob ("专业分工" "𥜦")
bkoc ("𥜬")
bkod ("来人")
bkoj ("专业人员")
bkol ("起早贪黑")
bkom ("𫁏")
bkon ("堺")
bkoo ("示众")
bkor ("𪇚")
bkos ("来往")
bkoy ("专业公司")
bkq ("趙" "㙕" "𪣬" "𡌔")
bkqc ("𤩯")
bkqo ("声明人")
bkr ("埸")
bkrg ("坦然")
bkrh ("𥘖")
bkrj ("未免")
bkrm ("𫁉")
bkro ("場" "埸")
bkrr ("堒")
bkrw ("老少皆宜")
bkry ("埋怨" "堨" "𫀶")
bkrz ("𩿷")
bksb ("来讲")
bksc ("来日方长")
bksh ("坦诚")
bksj ("工业产品" "来京")
bksk ("示意" "来意")
bksn ("工业产值")
bkso ("来文")
bkss ("来访")
bkst ("工业部门")
bksv ("来说" "坦率")
bksx ("未变")
bksy ("塌方")
bktg ("埋头" "𥜟")
bktn ("未准")
bktx ("未决")
bku ("𡑿")
bkua ("𪣟")
bkub ("𥘽")
bkuc ("墣")
bkug ("工业厅")
bkuh ("工业区")
bkuj ("工业园" "工业品")
bkuk ("埋单" "工业界")
bkul ("未曾")
bkun ("专业化" "工业化")
bkuo ("工业总公司")
bkus ("专业课" "工业总产值" "工业为主导")
bkut ("老当益壮")
bkuw ("专业户")
bkux ("工业局")
bkv ("堤" "𪣄" "𡉺")
bkvg ("来源")
bkvr ("增光添色")
bkvv ("埋没" "𡉭")
bkwb ("未完")
bkwd ("未定")
bkwm ("未必")
bkwo ("坦途")
bkwp ("来宾")
bkwr ("来客")
bkwu ("未遂" "动量守恒定律")
bkww ("老少边穷")
bkwx ("未被" "未退")
bkwz ("来安")
bkxb ("来劲" "垱")
bkxi ("攻坚战")
bkxj ("专业对口")
bkxk ("来函" "坦承")
bkxl ("五当山")
bkxs ("未尽")
bky ("塌")
bkyi ("赶鸭子上架")
bkyj ("未加" "𡎣")
bkym ("工业建筑" "𪣒")
bkyn ("教师队伍")
bkyr ("塌陷")
bkys ("堤防")
bkyt ("示弱")
bkyv ("未了")
bkyy ("塌")
bkz ("礼" "𡏱")
bkzi ("𧊢" "𥜸")
bkzm ("塿" "𫀱" "𪣠")
bkzq ("未能")
bkzr ("未婚")
bkzs ("五星红旗" "工业统计")
bkzu ("㙷")
bkzx ("未经" "𡓙")
bl ("项目")
bla ("塏")
blae ("堓")
blai ("堽")
blal ("𡐇")
blar ("土崩瓦解")
blb ("㘱")
blbb ("𡐎")
blbd ("𡉱")
blbi ("坝址")
blbm ("土默特")
blbu ("墿")
blbz ("𪤊")
blc ("坥")
blcm ("五四青年节")
bld ("垌" "坰" "埛" "堈" "𡊤" "𡉉" "𡉅")
bldb ("老同志")
ble ("𪣶")
blea ("𪣶")
bleb ("坝基")
blej ("夁")
blel ("贡献")
bleo ("㙉")
blep ("专用基金")
blff ("𡑕")
blgd ("坱")
blgl ("㙐")
blgp ("互助友爱")
blgu ("𡎅")
blhd ("𡌣")
blj ("堝")
blja ("贡嘎")
bljr ("𡑡")
blju ("塏")
bljw ("𢤶")
blkd ("𡍫")
blku ("替罪羊")
bll ("賣" "圸")
blla ("𡊢")
bllk ("𪤈")
blll ("贡山" "覿")
blln ("𩴺")
bllo ("賣" "𧶠")
bllr ("𣤺" "𣤯")
bllu ("𧸝")
bllx ("皾")
blly ("𠠔")
bllz ("𡓫")
blmo ("𡏯")
blnd ("坎帕拉")
blni ("墔")
blo ("坝" "垻" "埧")
blod ("㘨")
blof ("工具栏")
blok ("未见分晓")
blol ("井冈山")
blop ("工具钢")
blor ("境内外")
blox ("工具书")
blq ("塴")
blqb ("𡎷")
blqf ("𣖫")
blqq ("塴")
blqx ("㱿" "𣪗" "𡔮")
blr ("垷")
blrr ("𡓁" "𡋳")
bls ("塄")
blsf ("封山育林")
blsr ("专用设备")
blsx ("埁")
blsy ("塄")
blvv ("𡊟")
blvz ("专用线")
blwb ("五四运动")
blwo ("志同道合")
blxi ("𡔰")
blxk ("老眼光")
bly ("𨜤")
blya ("坝子")
blyk ("未见异常")
blys ("𧸷" "𠠠")
blyy ("垲")
blzi ("𤴞")
blzn ("贡缎" "䵺" "𪔄")
blzu ("𡕃")
blzz ("地县级")
bm ("者")
bma ("垁")
bmaa ("耂")
bmac ("𡍹")
bmai ("𦒱" "𡋨" "𠁂")
bmaj ("㙮" "𦒽")
bmav ("超短波")
bmaz ("考" "堪称一绝")
bmb ("𡎉" "𡉯")
bmbb ("二等功")
bmbc ("土生土长")
bmbf ("互利互惠")
bmbg ("𪥨")
bmbi ("𦒳")
bmbj ("𦓃")
bmbl ("工程项目")
bmbq ("动手动脚")
bmbr ("䎜" "𦓋" "𦓈")
bmbs ("土特产" "𫆨")
bmbt ("二等奖")
bmbu ("壎" "𤐈" "𤏍" "𡔄")
bmbz ("攻击")
bmc ("𡊳")
bmco ("夹生饭")
bmcu ("𡓞")
bmda ("攻打")
bmdf ("工程技术人员" "动手术")
bmdq ("攻势")
bme ("埵" "圲" "𡉧")
bmeb ("埵")
bmec ("𡒬")
bmed ("𡉦")
bmej ("攻克")
bmeu ("墲")
bmfk ("䡤")
bmfm ("老气横秋")
bmgg ("𦓜")
bmgo ("𥢙")
bmgx ("攻破")
bmh ("㘪")
bmhb ("耊")
bmhd ("圫" "𡉒")
bmhj ("𦓆")
bmhy ("专科医院")
bmih ("𡒞")
bmii ("䘄" "𡋨")
bmij ("攻占" "𦒾" "𦒻")
bmil ("㙖")
bmix ("𢾀")
bmiy ("埏")
bmj ("𡌃")
bmjj ("𦓇" "𡐈")
bmjk ("工程师" "𡐻")
bmjl ("塩" "墧" "𥂁")
bmjp ("工程兵" "工程船")
bmjr ("㗯" "𫆥")
bmju ("未知数")
bmjx ("𦒺")
bmjy ("工程队" "𨜞" "𨚻")
bmk ("𡎟")
bmka ("𡒁")
bmkb ("堹")
bmkc ("塔利班" "𩥞")
bmkd ("𪣡" "𪟊")
bmkf ("专利权" "起重机")
bmkj ("二重唱")
bmkl ("𧡺")
bmkm ("𣯆")
bmko ("𪣓")
bmkp ("起重船")
bmkr ("㙏" "𪄖")
bmks ("老生常谈")
bmku ("二重性")
bmkv ("专利法")
bmkx ("攻坚" "专利局")
bml ("壎")
bmle ("去年同期")
bmli ("㠻")
bmlj ("𨇜")
bmlk ("𦓊" "𡍘" "𡋒")
bmlr ("覩")
bmm ("教")
bmmb ("𡋂")
bmmd ("专利和技术转让")
bmmh ("𦒷")
bmmj ("𠺛")
bmmm ("𪤡")
bmmn ("䬡")
bmmo ("老年人")
bmmw ("𢠛")
bmmz ("二年级" "五年级")
bmnb ("𦓍" "𡍪")
bmng ("二氧化碳")
bmnj ("䰩" "𩲘")
bmnm ("二氧化氮")
bmno ("嘉年华会" "𧺂")
bmnp ("二氧化锰")
bmnx ("𤗡")
bmo ("攻" "坆")
bmob ("𡑊")
bmod ("攻入")
bmof ("𦓅")
bmoh ("𡋸")
bmol ("䀋" "𪉹")
bmom ("地利人和")
bmoo ("𦙩")
bmox ("𫘐")
bmoz ("𡎫")
bmpd ("斱")
bmqb ("𡌖")
bmqx ("殾")
bmr ("趱" "趲")
bmrh ("耋")
bmrj ("动物园" "耇" "耈" "㖈" "䎛" "𦓉" "𦓂" "𦒵")
bmrk ("耆" "𦓀" "𣴐" "𡓈")
bmrl ("𦒿" "𦒴")
bmrm ("耄" "𣭢")
bmro ("塲" "𦒸" "𦒶")
bmrq ("𦒲")
bmrr ("老" "䳓" "𪀧" "𡗀")
bmru ("𪹋" "𡦳")
bmry ("㐗")
bmrz ("𪃙")
bmsa ("喜笑颜开")
bmsc ("𦒼")
bmse ("攻读")
bmsf ("专利商标事务所")
bmsh ("五年计划")
bmsj ("土特产品")
bmsm ("𫆧")
bmso ("𦒹")
bmss ("工程设计")
bmsy ("都")
bmte ("𣂃")
bmtg ("埠头")
bmtj ("老年痴呆")
bmtr ("塖")
bmts ("教科文")
bmtx ("教科书")
bmu ("煮")
bmua ("垀")
bmuf ("增氧机")
bmug ("攻关")
bmun ("二氧化")
bmuo ("煮" "煑" "𤆯")
bmuu ("工程塑料")
bmux ("𫆪")
bmuy ("𡓕")
bmvf ("专科学校")
bmvv ("喜气洋洋")
bmw ("𪣌")
bmwa ("𪣌")
bmwd ("攻守")
bmwl ("𡒺")
bmwu ("赤手空拳")
bmwz ("𢝬")
bmx ("䎞")
bmxi ("𥀁")
bmxk ("超乎寻常")
bmxs ("𡳣")
bmy ("都" "教" "垖" "𡉛")
bmya ("孝")
bmyd ("圪" "乽")
bmye ("埠")
bmyi ("𡊇")
bmyj ("𦓁")
bmym ("教" "㘯" "𪣢")
bmyn ("𩳔")
bmyq ("𪵭")
bmyr ("攻陷")
bmys ("㼥")
bmyt ("二季度")
bmyu ("二氯乙烷")
bmyw ("塠")
bmyy ("翥" "䎝" "𨛨" "𡦊")
bmz ("𪜖")
bmzj ("耉")
bmzl ("堆积如山")
bmzm ("𪤙")
bmzo ("专委会")
bmzq ("走私犯")
bmzu ("𡦲")
bmzw ("走私案")
bmzx ("𫆦")
bmzy ("㙁")
bmzz ("攻丝")
bn ("增值")
bnai ("井下")
bnaj ("赤豆")
bnal ("𧹪")
bnan ("𪤮" "𧹡")
bnaz ("𡐟")
bnb ("𡍤")
bnbb ("𧹻")
bnbh ("赤城")
bnbi ("井盐")
bnbl ("𧺃")
bnbm ("二传手")
bnbq ("𡒂")
bnby ("𧹼")
bnc ("堭" "𡌏")
bnch ("二段式")
bncq ("塅" "𧹮")
bnd ("圳")
bndb ("五体投地")
bnde ("工伤事故")
bndm ("工作报告")
bndp ("赫哲")
bnds ("坿" "塮")
bne ("埤")
bnea ("塔什干")
bned ("埤")
bnek ("走向世界" "𫏪")
bnem ("增值税")
bnex ("𧹛")
bnez ("𧹱")
bnf ("㙫" "㙞" "𣙇")
bnfb ("𧹬" "𧹥")
bnff ("工作需要")
bnfg ("䞕")
bnfk ("𧹩")
bnfl ("𧹯")
bng ("垘")
bnga ("赭石")
bnge ("去伪存真" "𡏻")
bngg ("𧹸")
bngh ("堆砌")
bngi ("堆存")
bngk ("去向不明")
bngs ("垘" "𡏣")
bnhb ("䞓")
bnhd ("𪣣")
bnhk ("𧹹")
bnhm ("㘺")
bnhr ("𡏲")
bni ("堆")
bnil ("赪" "赬")
bnio ("𪤭")
bnj ("塊" "垧")
bnja ("井口")
bnje ("井喷")
bnjf ("堢")
bnji ("𨄟")
bnjk ("𧹭")
bnjp ("𨪄")
bnjw ("五保户")
bnk ("𡊚")
bnkh ("𧹹")
bnki ("井田")
bnkk ("𡒭")
bnks ("增白剂")
bnku ("㙸")
bnkv ("井水" "赤水" "𡎏")
bnkz ("工作小组" "𧹶")
bnl ("垍")
bnli ("𡍈")
bnln ("工作岗位")
bnlr ("赤峰" "超自然")
bnlz ("𡣅")
bnmb ("工作者")
bnme ("𡍇")
bnmg ("工作面")
bnmi ("螫")
bnmj ("堆积" "工作委员会")
bnmk ("工作量" "工作日" "𧹰")
bnml ("起作用")
bnmm ("𧹺")
bnmq ("工作服")
bnmr ("𫝅")
bnms ("工作站" "工作证" "𧹜")
bnmt ("工作制度")
bnmw ("𢟻")
bnmx ("𠭷")
bnmz ("工作组" "增值税发票")
bnno ("赫")
bnnq ("工作作风")
bno ("赤")
bnoa ("𧹙")
bnob ("赭" "䞑")
bnog ("頳" "𡘥")
bnoh ("𫏩")
bnoi ("赨")
bnoj ("工作人员" "𧹤" "𧹢")
bnol ("䚂" "䞒" "𧹦" "𡓤")
bnom ("赦" "𧹵")
bnoo ("𡒠")
bnor ("赥" "𪁌")
bnos ("工作会议")
bnow ("坦白从宽")
bnox ("𧹞")
bnoy ("郝" "赤贫" "㙾")
bnp ("墺")
bnpa ("赤金")
bnpk ("𧺀")
bnqb ("赤脚")
bnqd ("𠙓")
bnqm ("𤛖")
bnqy ("堆肥")
bnrd ("堄" "𡌗")
bnrg ("井然")
bnrj ("赦免")
bnrk ("𧹿")
bnrm ("𥏷")
bnrn ("工作条件" "工作条例")
bnro ("𡒠")
bnrr ("𪣀" "𡓻")
bnrs ("𡌠")
bnrt ("𧹝")
bnrv ("超低温")
bnrw ("超低空")
bnry ("赩")
bnrz ("𪅧")
bnsh ("工作计划" "赤诚")
bnsj ("𡏧")
bnsm ("堆放" "墽")
bnss ("工作效率")
bnst ("来华访问")
bnsu ("五位数" "二位数")
bnsv ("工作方法")
bntr ("井底" "塔什库尔干")
bnug ("墺")
bnuk ("堆焊")
bnun ("工作单位")
bnuo ("𤍫")
bnur ("老伴儿")
bnut ("工作情况")
bnuz ("工作总结")
bnvz ("𧹧")
bnw ("进")
bnwn ("𡑗")
bnwr ("𧹟")
bnws ("𡒳")
bnwu ("赤道")
bnwy ("赤字")
bnxb ("𫏨")
bnxj ("赤壁" "赯" "𧹣")
bnxm ("堠" "䞔" "𡓋")
bnxs ("𧹠")
bnxw ("𢠱")
bnxx ("堆叠" "赮")
bnya ("赤子")
bnyj ("井架")
bnyx ("赧" "井陉")
bnyy ("𠢂")
bnzj ("井台")
bnzk ("𫏫" "𧹴")
bnzu ("𧹽")
bnzx ("工作经验")
bo ("走")
boad ("𫏴" "𡐙")
boae ("赶" "趕" "走开" "𧻧" "𧻀")
boai ("起征点" "趧" "𧺒")
boaj ("垥" "䞧" "䞩" "𧼘")
boak ("功德无量" "𧼢")
boal ("埨" "䞙" "𧺡")
boam ("超人一等")
boan ("𧼟" "𧻙")
boar ("𧺰")
boau ("𧻈")
boax ("夫妻" "𧻋")
boay ("喜从天降" "𧾈")
boaz ("𧽰")
bob ("替" "坴" "𧺔" "𧺑")
bobb ("䞨" "𧾜")
bobd ("坏人坏事")
bobg ("趬")
bobi ("𧻟" "𧺗")
bobj ("趌" "䞸" "䞴")
bobk ("𫏱" "𫏭" "𧻚" "𧻇")
bobl ("𧼉")
bobm ("𢴸")
bobn ("𨿲" "𧽭")
bobo ("𧼂")
bobp ("𨬝")
bobq ("埶")
bobr ("鵱" "𧻩")
bobu ("𤎮")
bobw ("逵")
bobx ("来人来函")
boby ("勎")
bobz ("走动" "㙯" "𧺷" "𧺳" "𡢂" "𡋗")
boc ("𡋄")
boci ("𧾳")
bocl ("䟄")
bocm ("𧽕")
bocs ("䞝")
bocu ("替班" "𧽙")
bocx ("趣" "五谷丰登")
bocy ("𧻘")
bocz ("𧼈")
bod ("夫" "𡉇")
boda ("圦")
bodm ("䞗")
bodp ("𧻸")
bodq ("走势" "趁势")
bodr ("替换")
bods ("𧺘")
bodw ("老人家")
boe ("𢌻")
boea ("𧺧")
boeb ("䟆")
boef ("𧽬")
boeh ("埃德蒙顿" "𧾂")
boek ("趞")
boel ("䞺")
boen ("䟌" "𧼰")
boeo ("趩" "𧾰" "𧾌")
boeq ("走散")
boev ("规范")
boex ("䞚" "𧻝" "𢻝")
boey ("𧼦")
boez ("𧽎" "𧺿")
bofb ("𧽤" "𧻷")
bofd ("𧽢")
bofe ("规模")
bofj ("规整" "趚")
bofk ("𧼓")
bofl ("𧻕")
bofm ("未分配利润")
bofp ("𧽯")
bofq ("趁机")
bofr ("规格")
bofs ("𧺶")
bofu ("走样")
bofx ("夫权")
bog ("䞠")
bogd ("𧽘")
bogi ("䞜")
bogj ("𧼼" "𧻳")
bogk ("𧾁")
bogl ("𧻶")
bogm ("𧼵")
bogo ("五谷不分")
bogp ("𫏵")
bogq ("䞥" "𧼡")
bogs ("𧽒" "𧽀" "𧼙")
bogw ("𧾇")
bogx ("𧽔")
bogy ("𫏹" "𫏬" "𧻜" "𧻑")
boh ("辇")
boha ("𧻗")
bohc ("𧻔")
bohg ("𧻪")
bohk ("规划" "𧽫" "𧼤")
bohm ("𧺱")
boho ("䟇")
bohp ("䞪" "𫏳")
bohr ("走软")
bohs ("䞖")
bohx ("𧼒" "𧺹")
bohz ("越")
boi ("垳")
boid ("赴")
boig ("䟊")
boii ("𧺠")
boij ("趈")
boik ("𧼝")
boim ("趀")
boio ("𧾚" "𧼥")
boir ("𧺼")
bois ("𧽐")
boiv ("走上")
boix ("𧾬" "𧺽" "𢿿" "𡌙")
boiz ("𧺪")
boj ("𧺚")
boja ("𧼑")
bojb ("𧼻")
bojc ("䟈" "𧾞" "𧽮")
bojf ("趮")
bojg ("𩕡")
boji ("趗")
bojj ("嗇" "𧾮" "𧻢" "𠹫")
bojk ("墖" "𧼸" "𠟩")
bojl ("趫" "䟑" "𪤘" "𧽛")
bojm ("𧾦" "𧼐" "𡓎")
bojn ("䟒")
bojo ("𧻍")
bojr ("走路" "㱇" "𫏰" "𧾎" "𧽚" "𧽓")
bojs ("𧾑")
boju ("𧾊" "𧽊" "𧻿" "𧯣")
bojw ("𧾔")
bojx ("𧾝")
bojy ("𠢳")
bok ("替" "𧺝")
boka ("巫师" "䞡" "𧾓" "𧾍")
bokb ("𫏲" "𧽿" "𧽆" "𧼩" "𧻼" "𧻲")
bokd ("工人日报" "𧺈")
boke ("趁早" "趠" "𧽼" "𧽣")
bokf ("䟁")
bokh ("𧽫")
boki ("赶得上" "𧻉" "𤱒")
bokk ("𧾃" "𧽽")
bokl ("趟")
bokm ("赻" "𫏶")
bokn ("𧽟")
boko ("趪" "𡊒")
bokq ("趙" "𧾆" "𧼫")
bokr ("坏得多" "𧼱" "𧼨" "𡑉" "𡐣")
boks ("𧼺")
bokv ("𧺵")
bokw ("𧾧")
boky ("来得及")
bokz ("𧽲" "𧼎")
bol ("规" "規" "𧻃")
bolb ("巫峡" "𧽝" "𧽃")
bolc ("趄" "𧾖")
bold ("𫏯" "𧺸")
bolg ("𧼴")
bolj ("𧼽")
bolk ("规则" "𧽄" "𧼕" "𡑭")
boll ("山" "赸" "𧾥" "𧸇" "𧷏")
bolm ("𧾣")
boln ("𧾱" "𧾕" "𧽠")
bolo ("𧽍" "𧼀" "𧻾" "𧺬")
bolr ("𧾣" "𧼊")
bolw ("𧾨" "𧽌")
bolx ("䟂" "𧾩")
boly ("䞻" "𧽱")
bolz ("赵县" "𧾗")
bomb ("𧾞")
bomc ("𧻊")
bome ("𧺴" "𧺛")
bomf ("𧻞" "𡌘")
bomh ("规矩" "䞲")
bomi ("趏" "䟐" "䞢" "𧾶" "𧼄" "𧻽")
bomj ("规程" "𧻰")
bomk ("趎" "𧽂")
boml ("𧾲" "𧽻")
bomm ("𧽺")
bomn ("𧾟" "𧽳" "𧼰")
bomo ("走失" "趃")
boms ("均衡生产")
bomx ("𧾠")
bomy ("䞘" "𧾅" "𧺞")
bomz ("走私" "𧼆")
bonc ("替身" "䞹" "𧼅")
bond ("圿")
bone ("𧼠")
bonh ("替代" "𧾢")
boni ("趡")
bonj ("走向")
bonk ("走俏" "䞟" "𧼷")
bonl ("𧾫" "𧼣")
bono ("䞰")
bonr ("走低" "𧻮")
bons ("工人体育场" "工人体育馆")
bont ("越俎代庖")
bonu ("趭")
bonx ("𧾵" "𧾛" "𧽏")
boo ("巫" "𧺍")
boob ("趖" "𧾡" "𡌚")
booc ("𧻤")
bood ("夫人" "𧺌")
booe ("𧾉")
booi ("㙡" "𧽵" "𧻥")
booj ("﨏" "䞱")
book ("𧾀" "𡐑")
bool ("䟎" "𧶐" "𡍬")
boom ("䞮")
booo ("老爷爷" "趰" "𫏺" "𧾏" "𧼛" "𧻵" "𧻨" "𧻣" "𧺣" "𦠶" "𤕤" "𡔡" "𡑯")
boop ("趁" "䟃")
boor ("堫" "䞭" "𧼬" "𧼜" "𧼔" "𡖘" "𡕲" "𡒇")
boos ("赵" "䟋" "𧺺")
boou ("𧾴" "𧾋")
boow ("𧻋")
boox ("规律" "𧼭")
booy ("𧺮")
booz ("𧼶" "𧺭")
bop ("趁" "趛")
bopd ("赾" "𧻁")
bopi ("䞾")
bopl ("𧽨")
bopq ("𧼋")
bops ("䞣")
bopy ("䞯" "𧻖")
boqc ("𧻺")
boqd ("𧺋")
boqf ("槷" "趓" "𨎐")
boqj ("𨄧")
boqk ("堬" "暬" "𧼯" "𠠄")
boqm ("摰" "𧽾")
boqp ("𨫔" "𧻆")
boqq ("𧽹")
boqr ("走狗")
boqs ("埶" "𣁞")
boqu ("熱" "五谷杂粮" "𧼃")
boqx ("𧺢")
boqy ("勢" "𧺎")
boqz ("𡠦")
bor ("趍")
borb ("𧾡")
bore ("𫏮")
borh ("赿" "𡏜")
bori ("䟉" "𧻏")
borj ("趦" "䞦" "䞤")
bork ("趔" "趂" "𧾯" "𧼇" "𧻦" "𧻛")
borl ("趱" "趲" "𧾒" "𧤂")
borm ("𧾘")
born ("𧾙")
boro ("赼" "䞶" "𧼮" "𡑨")
borq ("𫇗" "𧺤")
borr ("趍" "𪥆" "𧼬" "𧼔" "𧻌" "𧺲" "𧺊" "𣣋" "𡒇")
bors ("夌" "趆" "𧼿" "𧺕" "𧺓")
bort ("均衡度" "赹")
boru ("均衡性" "趜")
borx ("趋")
bory ("𠡭")
borz ("趨" "𧽪" "𧽋")
bos ("赵")
bosc ("驇" "𧻄" "𦗙")
bosd ("𧻐")
bose ("走读")
bosf ("槷" "𨎐")
bosi ("𧾪" "𧐨")
bosj ("走高" "䞳" "𨄧" "𧽴" "𧼁")
bosk ("规章" "暬")
bosl ("䞇" "𢄢")
bosm ("摰" "𧾐")
boso ("走卒")
bosp ("𨫔")
bosr ("𩻉" "𧜼")
boss ("走访" "𣁞")
bosu ("熱" "趇" "𤍽")
bosw ("𢟯")
bosx ("坅" "赺" "𧻴")
bosy ("勢")
bosz ("𡠦")
bote ("﨣" "𧺯")
botm ("𧽑")
botr ("趑")
bots ("走廊")
botx ("𧽥")
bou ("熱")
boub ("䟀" "𧺾")
boue ("𧼲" "𧻓")
bouf ("趥")
boul ("趁着" "𧽦" "𢅮")
boum ("𢸧")
bouo ("走火" "𧺩")
bouu ("燅")
bouy ("𧼚")
bouz ("𧼳" "𧼞")
bovp ("巫溪")
bovr ("趒")
bovs ("𧻱")
bovx ("走漏")
bow ("坽")
bowb ("走进" "走运" "𧽧")
bowd ("规定" "走过")
bowe ("走街穿巷")
bowg ("趤")
bowi ("替补")
bown ("𧾄")
bowo ("走穴")
bowr ("𧾤" "𧺟" "𣤶")
bows ("䟍")
bowu ("走道")
boww ("走遍")
bowx ("规避" "鼀")
bowy ("动人心弦")
bowz ("䞽" "𫏷" "𧽉" "𧺨")
boxb ("𧽡" "𧻡")
boxg ("赽" "𧻯")
boxi ("𧺥")
boxj ("䞫" "𪤍" "𧽜" "𡌢")
boxk ("趢")
boxl ("𧻹")
boxm ("趘")
boxn ("𧽷")
boxo ("𧻠")
boxs ("𧺫" "𧺉")
boxu ("规律性" "𧼍")
boxw ("埝" "趝" "𧼾")
boxx ("䞵" "𧻫")
boxy ("规劝" "𧽗")
boy ("起" "勢" "𧺽" "𡌙")
boya ("夫子" "𧺙" "𧺖" "𧺐")
boyb ("𡎐")
boyd ("坋")
boye ("𧽁")
boyf ("未分配")
boyg ("𧼪")
boyh ("𧻎")
boyi ("𧺏")
boyj ("超" "走强" "𧼹")
boyk ("𧽖")
boyl ("𧷨" "𡎛")
boym ("赲" "䞬")
boyn ("趯" "䞞" "𧼗")
boys ("𤮅" "𤭝" "𡍻")
boyu ("𧽶")
boyy ("起" "坏分子" "趐" "塕" "𧻒")
boz ("𧺇")
bozb ("走红")
bozf ("䟏" "𧽅")
bozg ("䞼")
bozi ("赳")
bozl ("𫏸")
bozm ("𧽈" "𧻭" "𧺜")
bozr ("𧽸" "𡏓")
bozu ("𧽞")
bozw ("𪤩")
bozx ("夫妇")
bozy ("䞛")
bozz ("走出" "趉" "䞷" "𧼏" "𧺻" "𧺦" "𡌜")
bp ("喜爱")
bpa ("垢")
bpaj ("垢")
bpat ("走后门")
bpc ("𡍛")
bpd ("圻")
bpda ("坵")
bpds ("埒" "埓")
bpek ("𡓠")
bpel ("𡎆")
bpes ("地质部")
bpeu ("互质数")
bpev ("地质学")
bpex ("地质局")
bpey ("地质队")
bpez ("𡏟")
bpf ("埰")
bpgs ("地质矿产部")
bpih ("𡏚")
bpij ("𡌐")
bpkb ("𡓯")
bpki ("墦")
bpmg ("赤铁矿")
bpms ("地铁站")
bpmw ("劫后重逢")
bpnb ("塪")
bpo ("㙃")
bpoj ("城镇人口")
bpom ("劫后余生")
bppl ("𡒻")
bps ("坼" "坬")
bpxf ("𡏪" "𡎽")
bpxs ("坂")
bpxy ("城镇居民")
bpya ("垺")
bpyu ("𡐮")
bpzg ("𡏛")
bpzz ("五彩缤纷")
bq ("二月" "五月")
bqa ("穀")
bqbk ("坍塌")
bqbq ("𪤹")
bqd ("巩")
bqda ("𪢹")
bqe ("鞏")
bqed ("𡉻")
bqf ("垛")
bqfu ("地膜覆盖" "𡕀")
bqfz ("𢀃")
bqgn ("动脉硬化")
bqi ("堸")
bqiy ("赤膊上阵")
bqj ("𪣍")
bqja ("恐吓")
bqje ("巩固")
bqjj ("超凡品味")
bqjw ("赤胆忠心")
bqlz ("巩县")
bqof ("鼓风机")
bqoz ("𡏠")
bqpq ("𡐐")
bqq ("堋")
bqqa ("𡊢")
bqqx ("𣪎")
bqrs ("巩留")
bqs ("坍" "𡉕")
bqsm ("动脉血")
bqso ("巩义")
bqsq ("五脏六腑")
bqst ("动脉瘤")
bqsy ("动脉弓")
bque ("恐慌")
bqug ("恐怖")
bqul ("恐惧")
bqun ("恐怕")
bqvn ("五月份")
bqvv ("𪢿")
bqw ("恐")
bqx ("坄")
bqya ("𡉕")
br ("元")
brac ("地久天长")
brad ("趋于")
brae ("𦧄")
braj ("均可")
bray ("𡊶")
brba ("坎坷")
brbe ("吉尔吉斯" "吉尔吉斯斯坦")
brbk ("均未")
brbm ("老者")
brbn ("𨿲")
brbp ("𨬝")
brbr ("元老" "耄耋" "𡋰" "𠒶")
brbz ("𡢂")
brci ("埄")
brcw ("塳")
brcz ("元素")
brd ("圥")
brdj ("老损")
brdq ("趋势")
brds ("顽抗")
brdw ("老挝")
bre ("𢌻")
breb ("声名鹊起")
brek ("元朝")
brew ("超负荷运转")
brex ("𢻝")
brez ("𡍒")
brf ("𡏭")
brfa ("老朽" "老本")
brfp ("老板")
brfy ("元配")
brg ("顽" "頑")
brgf ("五角大楼")
brgm ("𡎇")
brgq ("均有")
brgy ("垝")
brh ("坁")
brhb ("老式")
brho ("老区")
brhv ("老成")
brih ("老虎")
brio ("老龄")
briu ("超外差")
brj ("垎" "坸" "𡊦")
brje ("顽固")
brk ("耆" "𡓇" "𡋕")
brka ("老师" "元旦")
brkb ("塔尔寺")
